Id,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,DR,OR,TR,AST,TO,STL,BLK,TPF,TPFD,TSFD,MidRangePTS,MidRangeM,MidRangeA,MidRange%,PaintPTS,PaintM,PaintA,Paint%,Floor%,DRtg,ORtg,eFG%,TS%,FT Rate,AST Rate,AST/TO,TOV Rate,ORB%,DRB%,USG%
P_239228,16.3,12.5,4,9,37.5,2,4.5,46.43,2,4.5,28.57,2.5,2.5,100,1.5,1,2.5,3.5,0.5,0.5,0,14.5,1.5,1,4,2,2.5,40,0,0,2,0,57.27,71.645,142.21,72.915,58.335,35.715,0.52,3.5,0.085,2.63,4.5,20.19
P_215434,19.96,11,4,8.75,40.96875,2.125,5.75,30.95125,1.875,3,58.95875,0.875,1.75,31.25,2.5,0.75,3.25,1,0.75,0.625,0.625,16.5,1.25,0.75,0.5,0.25,0.375,25,3.25,1.625,2.625,48.95875,40.86875,73.23375,106.33625,48.335,53.48375,8.95125,0.12125,0.75,0.1,2.44,6.5825,17.31875
P_265287,12.435,2.5,1,4.5,25,0,1,0,1,3.5,33.335,0.5,2,12.5,2.5,1,3.5,0.5,1,1,0,14.5,1.5,1,0,0,0,0,2,1,3.5,33.335,27.73,64.095,60.575,0,25,12.5,0.095,0.5,0.21,2.325,6.25,17.485
P_205891,18.19,12,5.5,8,65,0.5,0.5,50,5,7.5,63.89,0.5,2,25,3,2.5,5.5,1.5,0.5,1.5,1,14.5,2,1,0,0,0,0,10,5,7.5,63.89,66.635,62.54,141.635,50,65.91,5,0.295,1.5,0.075,6.43,8.25,13.82
P_209340,24.16625,12,4.5,8.75,49.79375,1,3.25,28.9575,3.5,5.5,62.53,2,2.75,43.33375,4,2.625,6.625,4.75,0.875,1.25,0.25,14.625,2.875,1.5,0.75,0.375,0.5,25,6.25,3.125,5,62.2625,59.455,73.1725,136.1075,44.47875,59.415,22.35625,0.5025,4.5625,0.10625,8.185,10.9425,17.67875
P_312532,5.815,1,0.5,1.5,25,0,0,0,0.5,1.5,25,0,0,0,0.5,0.5,1,1,0.5,0.5,0.5,14.5,0,0,0,0,0,0,1,0.5,1.5,25,25.34,65.815,56.165,0,25,0,0.34,1,0.17,1.315,2,12.43
P_188252,23.43,6.625,2.5,5,53.055,1.125,2.625,48.3325,1.375,2.375,55.3575,0.5,0.75,15.625,2.25,0.75,3,3.375,0.5,2.125,0.625,16.5,0.875,0.375,0,0,0.125,0,2.75,1.375,2.25,55.3575,60.71625,69.545,143.9875,59.375,61.38375,14.58375,0.63875,3.375,0.07625,2.02875,5.7875,10.605
P_176774,16.838,4.2,1.4,2.8,50.002,0,0.2,0,1.4,2.6,56.668,1.4,1.4,60,0.6,1,1.6,4.4,2,1.6,0,16,1.4,0.6,0,0,0,0,2.8,1.4,2.6,56.668,54.69,70.248,122.394,0,60.834,46.668,0.858,2.6,0.282,3.224,1.38,15.902
P_289563,11.655,0.5,0,5.5,0,0,0.5,0,0,5,0,0.5,1,25,1,4,5,0.5,0.5,1,0.5,14.5,1.5,0.5,0,0,0.5,0,0,0,4.5,0,22.57,66.385,54.015,0,3.125,7.145,0.07,0.5,0.145,9.915,4,24.865
P_224700,22.9,4,1.5,7,15,0.5,3,10,1,4,20,0.5,1,25,3,0,3,4,2,3,0,14.5,2.5,1,0,0,0.5,0,2,1,3.5,25,26.82,58.14,67.775,12.5,20,5,0.605,2,0.3,0,9,13.715
P_261017,9.536,4.2,1.4,2.6,53.334,0.6,1,50,0.8,1.6,43.334,0.8,0.8,40,1.2,0.2,1.4,0.6,0.2,0.2,0.2,16,1,0.8,0.4,0.2,0.4,20,1.2,0.6,1.2,33.334,57.956,75.212,156.826,51.666,67.5,33.334,0.216,0.6,0.074,0.466,2.868,12.124
P_213920,18.39142857,8.571428571,3.428571429,7.857142857,42.85714286,1.571428571,4.285714286,33.80857143,1.857142857,3.571428571,56.90428571,0.142857143,0.428571429,7.142857143,3.285714286,1.285714286,4.571428571,1.714285714,0.571428571,1.142857143,0,13,1.285714286,0.285714286,0.285714286,0.142857143,0.428571429,7.142857143,3.428571429,1.714285714,3.142857143,61.90428571,48.51142857,72.03428571,115.6171429,50,53.06142857,2.857142857,0.257142857,1.714285714,0.082857143,3.987142857,8.912857143,16.19714286
P_276177,3.4525,0.5,0.25,0.5,12.5,0,0,0,0.25,0.5,12.5,0,0,0,0.5,0.25,0.75,0,0,0,0,16.75,0,0,0,0,0.25,0,0.5,0.25,0.25,25,13.625,123.2025,31.615,0,12.5,0,0,0,0,1.0425,1.4275,2.175
P_205503,20.68777778,2.333333333,0.888888889,3.777777778,19.44444444,0.222222222,1.444444444,9.258888889,0.666666667,2.333333333,25.37,0.333333333,0.444444444,16.66666667,1.666666667,0.555555556,2.222222222,0.777777778,0.777777778,0.777777778,1.222222222,18.55555556,1,0.222222222,0.222222222,0.111111111,0.444444444,11.11111111,1.111111111,0.555555556,1.888888889,28.14777778,25.58888889,103.0533333,56.17777778,13.88888889,22.87,8.147777778,0.203333333,0.647777778,0.112222222,1.621111111,5.073333333,10.87666667
P_248185,0.395,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,3.7375,114.16,11.6825,0,0,0,0,0,0,0.625,0,8.465
P_186026,33.11,15.25,5.5,13.375,38.945,0.875,3.25,24.82125,4.625,10.125,44.47375,3.375,4.75,72.47,8.875,2.125,11,1.25,1.75,1.125,2,19.375,4.75,2.75,1.75,0.875,3,24.79125,7.5,3.75,7.125,51.77625,44.49,95.265,102.37375,30.97875,51.3,32.48375,0.0925,0.95875,0.1375,5.51875,26.2675,20.25125
P_250864,15.9325,6.625,2.125,7,22.18,1.125,4.5,19.6125,1,2.5,30.20875,1.25,1.375,33.33375,1.125,1,2.125,0.5,1.25,0.25,0,17.125,1.5,0.75,0.5,0.25,1.25,25,1.5,0.75,1.25,39.58375,22.6825,116.325,56.8025,27.49125,30.565,9.9575,0.045,0.29125,0.14125,2.63625,3.0425,18.70875
P_192591,24.9175,7.75,3.333333333,7,47.5475,0.666666667,1.833333333,31.25,2.666666667,5.166666667,52.28416667,0.416666667,1.083333333,20.83333333,2.583333333,0.833333333,3.416666667,0.916666667,1.583333333,1.083333333,0,18.58333333,1.416666667,0.583333333,0.833333333,0.416666667,1,16.66666667,4.5,2.25,4.166666667,50.1775,39.71416667,105.8816667,89.05833333,44.50416667,52.67083333,6.868333333,0.1125,0.583333333,0.256666667,2.3275,7.963333333,14.71583333
P_205505,8.64,0.5,0.125,0.875,6.25,0,0,0,0.125,0.875,6.25,0.25,0.5,12.5,1.625,1.125,2.75,0.625,0.625,1,0.125,19.375,0.625,0.25,0,0,0.125,0,0.25,0.125,0.75,6.25,34.2275,100.2775,163.23875,0,9.375,6.25,0.9625,0.5,0.22125,2.705,4.55,9.05875
P_192584,23.97583333,7.583333333,2.583333333,8.25,33.7175,1.583333333,4.583333333,32.49916667,1,3.666666667,24.74166667,0.833333333,1.083333333,48.61083333,2.333333333,0.416666667,2.75,3.916666667,2.666666667,0.5,0,18.58333333,2.083333333,0.5,0.5,0.25,1.166666667,20.83333333,1.5,0.75,2.5,30.555,35.85833333,109.555,97.21166667,41.70583333,44.67583333,10.41416667,0.345,1.785,0.2675,1.068333333,6.931666667,20.67166667
P_248180,14.83166667,1.5,0.5,2,13.54166667,0.083333333,0.916666667,8.333333333,0.416666667,1.083333333,6.944166667,0.416666667,1.333333333,14.58333333,0.916666667,1.666666667,2.583333333,0.416666667,0.5,0.5,0.083333333,18.58333333,1.166666667,0.666666667,0,0,0.25,0,0.833333333,0.416666667,0.833333333,8.333333333,31.72583333,110.2991667,93.83333333,8.333333333,19.25916667,13.54166667,0.1325,0.360833333,0.138333333,4.193333333,2.893333333,5.6975
P_320389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,131.805,0,0,0,0,0,0,0,0,0,0
P_248202,14.93,6,2.5,4,58.335,1,2,50,1.5,2,37.5,0,0,0,1.5,0.5,2,0.5,2,1.5,0,14,0,0,1,0.5,1,25,2,1,1,50,35.82,102.61,86.795,68.75,75,0,0.105,0.165,0.405,1.28,3.885,16.2
